0,0.0295304,0.937716
597,30.0384,0.15894
1129,60.0472,0.110639
1641,90.1042,0.0900732
2110,120.161,0.0773375
2508,150.235,0.0753382
2861,180.243,0.0723477
3181,210.316,0.0715553
3494,240.368,0.0702006
3851,270.369,0.0592468
4230,300.384,0.0574028
4636,330.443,0.0560315
5022,360.467,0.055026
5361,390.51,0.0544563
5677,420.511,0.0542411
5980,450.559,0.0529785
6281,480.568,0.0527693
6584,510.594,0.0526099
6883,540.63,0.0524808
7168,570.67,0.052306
7435,600.702,0.0520841
7688,630.755,0.0519372
7933,660.818,0.0517444
8180,690.836,0.0514693
8435,720.896,0.0513229
8692,750.965,0.0511788
8933,781.035,0.0505728
9216,811.084,0.0504454
9487,841.105,0.0502294
9757,871.187,0.0501899
10014,901.187,0.0501049
10269,931.202,0.0500281
10525,961.27,0.0499959
10783,991.363,0.0499799
11174,1021.38,0.049595
11610,1051.43,0.0492541
12032,1081.48,0.0492548
12457,1111.51,0.0481934
12887,1141.56,0.0456496
13313,1171.62,0.0439956
13748,1201.64,0.0432689
14177,1231.71,0.0424051
14581,1261.75,0.0417332
15008,1291.81,0.0410672
15428,1321.82,0.0404714
15863,1351.87,0.0397935
16303,1381.93,0.0393888
16727,1412,0.0391566
17163,1442.06,0.0387056
17594,1472.09,0.0385459
18022,1502.14,0.0380979
18449,1532.21,0.0375903
18876,1562.22,0.0374199
19295,1592.22,0.0372747
19690,1622.23,0.0371342
20083,1652.27,0.0367908
20490,1682.29,0.0366499
20894,1712.36,0.0363481
21208,1742.42,0.0361588
21462,1772.42,0.0359985
21699,1800,0.0358384
